"We can't find products matching the selection.","לא נמצאו מוצרים"
"Add to Wish List","הוסף לרשימה"
"Related Products","מוצרים קשורים"
"We found other products you might like!","מצאנו מוצרים אחרים שעשויים לעניין אותך!"
"More Choices:","אפשרויות נוספות:"
"New Products","מוצרים חדשים"
"Check items to add to the cart or","סמן מוצרים אשר ברצונך להוסיף לסל או"
"select all","בחר הכל"
"Add to Cart","הוסף לעגלה"
"In stock","אזל במלאי"
"Out of stock","אזל במלאי"
Qty,כמות
Loading...,טוען...
"Connect Us","לחבר אותנו"
"* Required Fields","* שדות חובה"
"Jot us a note and we’ll get back to you as quickly as possible.","אנו נחזור אליך בהקדם האפשרי"
"Write Us","כתוב לנו"
Name,שם
Email,"דוא""ל"
"Phone Number",טלפון
"What’s on your mind?","סיבת הפנייה"
Submit,שלח
item,פריט
items,פריטים
"Shop By","Shop By"
"Shopping Options","סנן לפי"
"search us also in","עקבו אחרינו גם ב"
"Sign Up for Our Newsletter:","הרשם עבור שלנו עלון:"
"Enter your email address","הזן את כתובת הדוא''ל שלך "
Subscribe,הירשם
"About Us",עלינו
"Wish List",ווישליסט
"Gift Card","גיפט קארד"
"Store List",סניפים
"Order List","ההזמנות שלי"
"Contact Us","צור קשר"
Help,עזרה
"View More","הצג עוד..."
Close,סגור
Regulations,תקנון
"Zip/Postal Code",מיקוד
"Thank you for purchasing in expose","תודה שרכשת באקספוז!"
"Your order number is: %1.","מספר הזמנתך הינו:%1"
"Your order # is: <span>%1</span>.","מספר הזמנתך הינו:%1"
"Back to home page","חזרה לדף הבית"
"Order details was sent to %1","אישור ופרטי הזמנה נשלחו למייל %1"
"By open account you can","על ידי יצירת חשבון תוכל לעקוב אחר סטטוס הזמנה"
SKU,מק''ט
New,חדש
"Forgot Your Password","שכחתי סיסמה"
