You added %1 to your shopping cart.,הוספת %1 לעגלת הקניות שלך.,module,Tech_Checkout
We can't add this item to your shopping cart right now.,אנחנו לא יכולים להוסיף פריט זה  שלך עכשיו.,module,Tech_Checkout
Posts,הודעות,module,Tech_Metro
Create New Post,צור הודעה חדשה,module,Tech_Metro
Save Post,שמור הודעה,module,Tech_Metro
Save and Continue Edit,שמור והמשך עריכה,module,Tech_Metro
Delete Post,מחק הודעה,module,Tech_Metro
Edit Post '%1','%1' ערוך הודעה,module,Tech_Metro
New Post,פרסום חדש,module,Tech_Metro
Post Information,מידע הודעה,module,Tech_Metro
Name,שם,module,Tech_Metro
Image,תמונה,module,Tech_Metro
Link,קישור,module,Tech_Metro
Position,עמדה,module,Tech_Metro
Post,הודעה,module,Tech_Metro
The Post has been deleted.,פוסט נמחק.,module,Tech_Metro
Post to delete was not found.,פרסם למחוק לא נמצא.,module,Tech_Metro
This Post no longer exists.,להודעה זו אינה קיימת עוד.,module,Tech_Metro
Please correct the data sent.,אנא תקן את הנתונים שנשלחו.,module,Tech_Metro
Something went wrong while saving the Post.,משהו השתבש בעת שמירת הפוסט.,module,Tech_Metro
A total of %1 record(s) have been deleted.,סך של שיא%1 (ים) נמחק.,module,Tech_Metro
The Post has been saved.,פוסט נשמר.,module,Tech_Metro
Edit,לערוך,module,Tech_Metro
Delete,לִמְחוֹק,module,Tech_Metro
"Delete ""${ $.$data.name }""","מחק ""$ {$. $ Data.name}""",module,Tech_Metro
"Are you sure you wan't to delete the Post ""${ $.$data.name }"" ?","האם אתה בטוח שאתה רוצה לבצע למחוק פוסט ""$ {$. $ Data.name}""?",module,Tech_Metro
We can't find products matching the selection.,לא נמצאו מוצרים,module,Tech_Special
Add to Wish List,הוסף לרשימה,module,Tech_Special
We can't find products matching the selection.,לא נמצאו מוצרים,theme,frontend/Tech/expose
Add to Wish List,הוסף לרשימה,theme,frontend/Tech/expose
Related Products,מוצרים קשורים,theme,frontend/Tech/expose
We found other products you might like!,מצאנו מוצרים אחרים שעשויים לעניין אותך!,theme,frontend/Tech/expose
More Choices:,אפשרויות נוספות:,theme,frontend/Tech/expose
New Products,מוצרים חדשים,theme,frontend/Tech/expose
Check items to add to the cart or,סמן מוצרים אשר ברצונך להוסיף לסל או,theme,frontend/Tech/expose
select all,בחר הכל,theme,frontend/Tech/expose
Add to Cart,הוסף לעגלה,theme,frontend/Tech/expose
In stock,במלאי,theme,frontend/Tech/expose
Out of stock,אזל במלאי,theme,frontend/Tech/expose
Qty,כמות,theme,frontend/Tech/expose
Loading...,טוען...,theme,frontend/Tech/expose
Connect Us,לחבר אותנו,theme,frontend/Tech/expose
* Required Fields,* שדות חובה,theme,frontend/Tech/expose
Jot us a note and we’ll get back to you as quickly as possible.,אנו נחזור אליך בהקדם האפשרי,theme,frontend/Tech/expose
Write Us,כתוב לנו,theme,frontend/Tech/expose
Name,שם,theme,frontend/Tech/expose
Email,"דוא""ל",theme,frontend/Tech/expose
Phone Number,טלפון,theme,frontend/Tech/expose
What’s on your mind?,סיבת הפנייה,theme,frontend/Tech/expose
Submit,שלח,theme,frontend/Tech/expose
item,פריט,theme,frontend/Tech/expose
items,פריטים,theme,frontend/Tech/expose
Shop By,Shop By,theme,frontend/Tech/expose
Shopping Options,סנן לפי,theme,frontend/Tech/expose
search us also in,עקבו אחרינו גם ב,theme,frontend/Tech/expose
Sign Up for Our Newsletter:,הרשם עבור שלנו עלון:,theme,frontend/Tech/expose
Enter your email address,"הזן את כתובת הדוא''ל שלך" ,theme,frontend/Tech/expose
Subscribe,הירשם,theme,frontend/Tech/expose
Read Details,קראו פרטים,module,Magento_AdminNotification
Mark as Read,סמן כנקרא,module,Magento_AdminNotification
Are you sure?,האם אתה בטוח?,module,Magento_AdminNotification
Remove,לְהַסִיר,module,Magento_AdminNotification
Messages Inbox,תיבת הדואר הנכנס הודעות,module,Magento_AdminNotification
You have %1 new system messages,יש לך%1 הודעות מערכת חדשות,module,Magento_AdminNotification
You have %1 new system message,יש לך%1 הודעת מערכת חדשה,module,Magento_AdminNotification
Incoming Message,הודעה נכנסת,module,Magento_AdminNotification
close,לִסְגוֹר,module,Magento_AdminNotification
Notifications,התראות,module,Magento_AdminNotification
The message has been marked as Read.,המסר סומן כנקרא.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,לא יכולנו לסמן את ההודעה כהודעה שנקראה עקב שגיאה.,module,Magento_AdminNotification
Please select messages.,אנא בחר הודעות.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,סך של שיא%1 (ים) סומן כנקרא.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,"סה""כ%1 שיא (ים) הוסרו.",module,Magento_AdminNotification
We couldn't remove the messages because of an error.,לא הצלחנו להסיר את המסרים עקב שגיאה.,module,Magento_AdminNotification
The message has been removed.,המסר הוסר.,module,Magento_AdminNotification
1 Hour,1 שעה,module,Magento_AdminNotification
2 Hours,2 שעות,module,Magento_AdminNotification
6 Hours,6 שעות,module,Magento_AdminNotification
12 Hours,12 שעות,module,Magento_AdminNotification
24 Hours,24 שעות,module,Magento_AdminNotification
critical,קריטי,module,Magento_AdminNotification
major,גדול,module,Magento_AdminNotification
minor,קַטִין,module,Magento_AdminNotification
notice,הודעה,module,Magento_AdminNotification
Wrong message type,סוג המסר הלא נכון,module,Magento_AdminNotification
Wrong notification ID specified.,מזהה הודעה שגויה שצוין.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{BASE_URL}} לא מומלץ להשתמש בסביבת ייצור להכריז את כתובת האתר מאובטח מאגר URL / לא מאובטח Base. אנו ממליצים בחום שינוי ערך זה ב מג'נטו שלך <a href=""%1""> תצורה </a>.",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,אחת או יותר של סוגי המטמון הם בטלו:%1.,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","עבור אל <a href=""%1""> מטמון ניהול </a> ולרענן סוגים מטמון.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,לא הצלחנו לסנכרן לקובץ מדיה אחד או יותר. עיין בקובץ היומן לפרטים.,module,Magento_AdminNotification
Synchronization of media storages has been completed.,סנכרון מחסני תקשורת הושלם.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,שרת האינטרנט שלך הוגדר באופן שגוי ומאפשר גישה לא מורשית לקבצים רגישים. אנא פנה אל ספק האירוח שלך.,module,Magento_AdminNotification
System Messages:,הודעות מערכת:,module,Magento_AdminNotification
Critical System Messages,הודעות מערכת קריטיות,module,Magento_AdminNotification
Major System Messages,הודעות מערכת סרן,module,Magento_AdminNotification
System messages,הודעות מערכת,module,Magento_AdminNotification
Close,לִסְגוֹר,module,Magento_AdminNotification
See All (,ראה הכל (,module,Magento_AdminNotification
 unread), לא נקרא),module,Magento_AdminNotification
Please correct the data sent.,אנא תקן את הנתונים שנשלחו.,module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,סוג מודל ישות '%1' לא נמצא,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,סוג מודל ישות נפרדת חייבת להיות מופע של \ מג'נטו \ CatalogImportExport \ דגם \ ייצוא \ מוצר \ סוג \ AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,אין סוגי מוצרים זמינים לייצוא,module,Magento_AdvancedPricingImportExport
We can't find the role for the user you wanted.,אנחנו לא יכולים למצוא את התפקיד עבור המשתמש שרצית.,module,Magento_Authorization
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,משהו השתבש בעת עריכת רשימה של משאבים מותרים. ניתן לברר פרטים נוספים ב החריג להיכנס.,module,Magento_Authorization
You created the order.,יצרת את הסדר.,module,Magento_Authorizenet
Order saving error: %1,שגיאה בעת שמירת סדר:%1,module,Magento_Authorizenet
Please choose a payment method.,בחר שיטת תשלום.,module,Magento_Authorizenet
We can't process your order right now. Please try again later.,איננו יכולים לעבד את הזמנתך עכשיו. בבקשה נסה שוב מאוחר יותר.,module,Magento_Authorizenet
Unable to place order. Please try again later.,לא ניתן לבצע את ההזמנה. בבקשה נסה שוב מאוחר יותר.,module,Magento_Authorizenet
Credit Card: xxxx-%1,כרטיס אשראי: xxxx-%1,module,Magento_Authorizenet
amount %1,סכום%1,module,Magento_Authorizenet
failed.,נִכשָׁל.,module,Magento_Authorizenet
successful.,מוּצלָח.,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Authorize.Net מזהה עסקה%1.,module,Magento_Authorizenet
authorize,לְאַשֵׁר,module,Magento_Authorizenet
authorize and capture,לאשר וללכוד,module,Magento_Authorizenet
capture,לִלְכּוֹד,module,Magento_Authorizenet
refund,הֶחזֵר,module,Magento_Authorizenet
void,בָּטֵל,module,Magento_Authorizenet
Gateway error: %1,שגיאת Gateway:%1,module,Magento_Authorizenet
Something went wrong in the payment gateway.,משהו השתבש שער התשלום.,module,Magento_Authorizenet
Invalid amount for capture.,כמות לא חוקית עבור לכידה.,module,Magento_Authorizenet
Payment capturing error.,שגיאה לכידה תשלום.,module,Magento_Authorizenet
Invalid transaction ID.,מספר עסקה לא חוקי.,module,Magento_Authorizenet
Payment voiding error.,שגיאת הרקת תשלום.,module,Magento_Authorizenet
Invalid amount for refund.,כמות לא חוקית להחזר.,module,Magento_Authorizenet
Payment refunding error.,שגיאת החזר תשלום.,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,העסקה נדחתה משום אימות חשיש התגובה נכשלה.,module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,תשלום זה לא הסתדר כי אנחנו לא יכולים למצוא צו זה.,module,Magento_Authorizenet
There was a payment authorization error.,אירעה שגיאת אישור תשלום.,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,זן מזהה עסקה לאשר תשלום זה.,module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,משהו השתבש: הסכום ששולם אינו תואם את סכום ההזמנה. אנא תקן זה ונסה שוב.,module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","עסקת%1 אושר. סכום%2. מעמד עסקה הוא ""%3""",module,Magento_Authorizenet
